상품명,은행명,상품유형,가입대상,최대계좌수,최소납입금액,최대납입금액,계약기간,금리,우대이율 조건,중도해지 금리,복리방법,특징,신청 채널,특별 해지 조건,출처,비고
코드 K 정기예금,케이뱅크,정기예금,만 17세 이상 개인 및 개인사업자,제한 없음,1백만원,제한 없음,1개월 ~ 36개월,기본 3.00% ~ 3.30%,금리우대 코드 입력 시 (이벤트 진행 시),최저 연 0.1%,단리,이벤트 시 금리우대 적용 가능,케이뱅크 인터넷 홈페이지 및 모바일 앱,"압류, 가압류, 질권설정 등 제외",코드 K 정기예금 요약 설명서,자동 재예치 가능
신한 My플러스 정기예금,신한은행,정기예금,실명의 개인 (1인 1계좌),1인 1계좌,50만원,1억원,"1개월, 3개월, 6개월, 12개월",연 2.15% ~ 2.65% (기본 + 우대이자율),신규 및 우대 조건 충족 시 최대 0.2% 추가,최저 연 0.10% ~ 기본이자율 차감 적용,단리,"계획에 따라 계약기간 선택 가능, 금리우대 쿠폰 적용 가능","영업점, 신한 SOL뱅크",없음,신한 My플러스 정기예금 상품설명서,만기 전 일부 해지 가능 (최대 2회)
쏠편한 정기예금,신한은행,정기예금,만 14세 이상 개인고객,제한 없음,1만원,제한 없음,1개월 ~ 60개월,연 2.15% ~ 2.70%,없음,최저 연 0.10% ~ 기본이자율 차감 적용,단리,만기일 연장 서비스 및 자동재예치 가능,"영업점, 신한 SOL뱅크","압류, 가압류, 질권설정 시 제한",쏠편한 정기예금 상품설명서,만기 전 일부 해지 가능 (최대 2회)
우리 첫거래우대 정기예금,우리은행,정기예금,실명의 개인(1인 1계좌),1인 1계좌,1백만원,5천만원,6개월 ~ 36개월 (월 단위),연 2.20% ~ 2.60%,우리은행 계좌 및 예적금 미보유 시 최대 연 1.0%,최저 연 0.10% ~ 기본이자율 차감 적용,단리,우대금리 제공 및 분할해지 가능,"스마트뱅킹 신규, 영업점/스마트뱅킹 해지","압류, 가압류, 질권설정 시 제한",우리 첫거래우대 정기예금 상품설명서,만기 전 3회까지 분할해지 가능
카카오뱅크 정기예금,카카오뱅크,정기예금,만 17세 이상의 실명의 개인,제한 없음,100만원,제한 없음,"1개월 ~ 36개월 (월 단위, 일 단위)",연 2.60% ~ 3.20%,금리쿠폰 사용 시 추가 우대금리 제공 (만기 해지 시 적용),최저 연 0.10% ~ 기본이자율 차감 적용,단리,긴급출금 및 자동해지 가능,카카오뱅크 모바일 앱,"질권, 압류 등 사고신고 시 제한",카카오뱅크 정기예금 상품설명서,만기 후 최대 5회 자동연장 가능
토스 먼저 이자 받는 정기예금,토스뱅크,정기예금,실명의 개인 (본인 명의 토스뱅크 계좌 필수),제한 없음,100만원,10억원,"3개월, 6개월 (12개월은 추후 안내)",연 3.00%,"선이자 지급 방식, 가입 즉시 이자 지급",가입 당시 중도해지 금리 적용,단리,만기 시 자동해지 및 최대 3회 자동 재가입 가능,토스뱅크 모바일 앱,"압류, 지급정지 등 제한 시 해지 불가",토스 먼저 이자 받는 정기예금 상품설명서,판매한도 제한 없음
KB Star 정기예금,KB국민은행,정기예금,개인 및 개인사업자,제한 없음,1백만원 이상 (추가입금 불가),제한 없음,1개월 이상 ~ 36개월 이하 (월 단위),계약기간별 기본금리 적용 (신규일 당시 고시),금리우대쿠폰 적용 가능 (신규 시에만),계약기간별 중도해지 금리 적용,단리,"분할인출 가능, 자동재예치 옵션 제공","인터넷뱅킹, KB스타뱅킹, 고객센터","압류, 가압류, 질권설정 시 제한",KB Star 정기예금 상품설명서,"통장 미발행, 자동재예치 시 금리 변동 가능"
KB국민UP정기예금,KB국민은행,정기예금,제한 없음 (금융기관 제외),제한 없음,"개인 3백만원 이상, 법인 3천만원 이상",제한 없음,12개월,"계단식 금리 구조, 월 복리 적용 (최대 2.90%)",3개월 이상 유지 시 우대 조건 충족 가능 (최대 연 0.2%),기간별 중도해지 금리 적용,월 복리,"분할해지 가능, 만기 자동해지 지원","영업점, 인터넷뱅킹, KB스타뱅킹, 고객센터","압류, 가압류, 질권설정 시 제한",KB국민UP정기예금 상품설명서,만기 후 금리 적용 가능
NH내가Green초록세상예금,농협은행,정기예금,개인 (1인 1계좌),1인 1계좌,1백만원 이상,제한 없음,1년 이상 ~ 3년 이하 (월 단위),"12개월: 3.10%, 24개월: 3.15%, 36개월: 3.40%","친환경 서약, 통장 미발급, 손하나로 인증 등으로 최대 연 0.40%","최저 연 0.10%, 경과율에 따라 중도해지 기준 이율 적용",단리,"친환경 활동을 장려하는 우대 조건, 기금 적립 (계좌당 2,000원)","영업점, 비대면 채널","압류, 가압류, 질권설정 시 제한",NH내가Green초록세상예금 상품설명서,"재예치 불가, 추가 적립 불가"
NH더하고나눔정기예금,농협은행,정기예금,"개인, 법인 (국가, 지방자치단체 제외)",제한 없음,3백만원 이상,제한 없음,1개월 이상 ~ 36개월 이하 (월 또는 일 단위),"만기일시지급식: 개인 최대 3.40%, 법인 최대 3.30%",없음,"최저 연 0.10%, 경과율에 따라 중도해지 기준 이율 적용",단리,연간평균잔액의 0.01%를 공익기금으로 적립,"영업점, 비대면 채널","압류, 가압류, 질권설정 시 제한",NH더하고나눔정기예금 상품설명서,부분인출 가능 (최대 3회)
NH올원e예금,농협은행,정기예금,개인,제한 없음,10만원 이상,10억원 이하,1개월 이상 ~ 36개월 이하 (월 단위),만기일시지급식: 최대 3.55%,금리우대 쿠폰 및 이벤트에 따라 추가 적용 가능,"최저 연 0.10%, 경과율에 따라 중도해지 기준 이율 적용",단리,"비대면 채널 전용상품, 손쉬운 가입 가능","비대면 채널 (인터넷뱅킹, 스마트뱅킹)","압류, 가압류, 질권설정 시 제한",NH올원e예금 상품설명서,부분인출 가능 (최대 3회)
NH올원e예금,농협은행,정기예금,개인,제한 없음,10만원 이상,10억원 이하,1개월 이상 ~ 36개월 이하 (월 단위),만기일시지급식: 최대 3.55%,금리우대 쿠폰 및 이벤트에 따라 추가 적용 가능,"최저 연 0.10%, 경과율에 따라 중도해지 기준 이율 적용",단리,"비대면 채널 전용상품, 손쉬운 가입 가능","비대면 채널 (인터넷뱅킹, 스마트뱅킹)","압류, 가압류, 질권설정 시 제한",NH올원e예금 상품설명서,부분인출 가능 (최대 3회)
